product_id,product_name,category,supplier_id,purchase_date,expiry_date,expiry_type,quantity_in_stock,cost_price,selling_price,seasonal_demand_factor
P0000,Shower Curtain,Home Goods,S008,2025-04-12,2025-09-23,Quality Period,78,84.04,142.4,1.0
P0001,Sweet Potatoes,Groceries,S013,2025-06-27,2025-07-08,Shelf Life,88,16.05,22.58,1.0
P0002,Summer Shorts,Clothing,S017,2025-05-23,2025-06-20,Fashion Season,187,38.21,79.31,1.0
P0003,Animal Farm,Books,S011,2025-05-21,2027-04-17,Obsolescence,133,5.94,8.08,1.0
P0004,Wireless Mouse,Electronics,S016,2025-05-12,2026-05-17,Warranty Period,75,116.54,207.18,1.0
P0005,Makeup Remover,Beauty & Health,S014,2025-04-11,2025-06-04,Expiration Date,16,49.13,88.03,1.0
P0006,Wireless Bluetooth Headphones,Electronics,S013,2025-06-19,2026-05-23,Warranty Period,44,138.97,190.82,1.0
P0007,Running Shoes,Clothing,S014,2025-05-08,2025-06-01,Fashion Season,130,79.4,172.46,1.0
P0008,Lord of the Flies,Books,S015,2025-05-03,2027-02-22,Obsolescence,33,22.24,29.44,1.0
P0009,Eye Cream,Beauty & Health,S001,2025-05-19,2025-06-20,Expiration Date,30,46.01,91.78,1.0
P0010,Sweet Potatoes,Groceries,S005,2025-05-25,2025-05-28,Shelf Life,28,6.85,8.5,1.0
P0011,Blueberries,Groceries,S018,2025-05-27,2025-05-29,Shelf Life,202,4.78,5.86,1.0
P0012,Gaming Mouse Pad,Electronics,S010,2025-04-29,2025-11-26,Warranty Period,45,58.18,85.39,1.0
P0013,Backpack,Sports & Outdoors,S012,2025-05-24,2026-06-08,Wear Period,83,123.7,221.22,1.4
P0014,Fishing Rod,Sports & Outdoors,S017,2025-06-24,2027-03-28,Wear Period,22,81.5,129.06,1.4
P0015,Business Blazer,Clothing,S001,2025-05-09,2025-06-02,Fashion Season,123,19.81,34.6,1.0
P0016,Tennis Racket,Sports & Outdoors,S019,2025-06-01,2025-10-17,Wear Period,106,147.41,220.45,1.4
