product_id,product_name,category,supplier_id,purchase_date,expiry_date,expiry_type,quantity_in_stock,cost_price,selling_price,seasonal_demand_factor
P0000,Organic Spinach,Groceries,S017,2025-06-27,2025-06-29,Shelf Life,266,23.88,37.12,1.0
P0001,To Kill a Mockingbird,Books,S002,2025-06-14,2028-05-20,Obsolescence,197,21.36,27.94,1.0
P0002,Camping Tent,Sports & Outdoors,S009,2025-04-28,2025-09-29,Wear Period,119,26.5,41.0,1.4
P0003,Laptop Cooling Pad,Electronics,S002,2025-06-02,2025-07-11,Warranty Period,11,133.08,189.65,1.0
P0004,Nail Polish,Beauty & Health,S007,2025-06-24,2025-09-02,Expiration Date,172,3.04,4.29,1.0
P0005,Camping Tent,Sports & Outdoors,S009,2025-05-14,2026-08-24,Wear Period,181,113.27,182.39,1.4
P0006,Conditioner,Beauty & Health,S010,2025-05-31,2025-08-06,Expiration Date,140,3.33,5.83,1.0
P0007,Atomic Habits,Books,S001,2025-05-09,2026-06-25,Obsolescence,98,7.24,10.05,1.0
P0008,USB Flash Drive 32GB,Electronics,S000,2025-04-10,2026-02-16,Warranty Period,36,52.26,83.28,1.0
P0009,Kitchen Towel Set,Home Goods,S005,2025-04-09,2026-05-27,Quality Period,136,80.05,125.09,1.0
P0010,Eye Cream,Beauty & Health,S019,2025-05-05,2025-06-17,Expiration Date,56,43.1,71.09,1.0
P0011,Hair Dryer,Beauty & Health,S001,2025-05-04,2025-05-15,Expiration Date,166,48.89,95.29,1.0
P0012,Think and Grow Rich,Books,S008,2025-04-25,2026-02-14,Obsolescence,77,14.06,18.62,1.0
P0013,Yoga Mat,Sports & Outdoors,S008,2025-05-22,2027-03-23,Wear Period,58,79.65,105.08,1.4
P0014,Cable Organizer,Electronics,S016,2025-04-15,2025-09-09,Warranty Period,39,43.2,61.79,1.0
P0015,Toothpaste,Beauty & Health,S003,2025-05-16,2025-06-07,Expiration Date,20,32.26,63.93,1.0
P0016,Cable Organizer,Electronics,S010,2025-04-07,2026-01-03,Warranty Period,7,173.17,292.26,1.0
P0017,Hand Lotion,Beauty & Health,S014,2025-06-12,2025-07-29,Expiration Date,182,21.61,38.34,1.0
P0018,Sleeping Bag,Sports & Outdoors,S003,2025-06-09,2026-11-08,Wear Period,48,16.44,28.84,1.4
P0019,The 7 Habits,Books,S003,2025-04-11,2027-12-09,Obsolescence,76,19.05,23.61,1.0
P0020,Picture Frame,Home Goods,S008,2025-05-02,2025-12-28,Quality Period,61,17.22,29.58,1.0
P0021,The Hobbit,Books,S011,2025-05-05,2027-04-28,Obsolescence,70,7.91,10.88,1.0
P0022,Cucumber,Groceries,S012,2025-04-21,2025-04-22,Shelf Life,170,3.85,6.14,1.0
P0023,Water Bottle,Sports & Outdoors,S000,2025-06-15,2026-06-19,Wear Period,38,32.52,44.43,1.4
P0024,Brown Rice,Groceries,S002,2025-04-13,2025-04-17,Shelf Life,174,8.11,10.55,1.0
P0025,Desk Lamp,Home Goods,S000,2025-04-14,2027-01-10,Quality Period,15,69.66,98.97,1.0
P0026,The Power of Habit,Books,S011,2025-06-29,2028-06-14,Obsolescence,134,14.77,21.73,1.0
P0027,Body Wash,Beauty & Health,S000,2025-06-14,2025-06-30,Expiration Date,193,23.53,36.82,1.0
P0028,Moisturizing Cream,Beauty & Health,S005,2025-04-12,2025-05-23,Expiration Date,123,46.15,69.65,1.0
P0029,Trash Can,Home Goods,S016,2025-05-01,2026-07-26,Quality Period,177,34.12,52.3,1.0
P0030,Winter Scarf,Clothing,S002,2025-05-18,2025-05-26,Fashion Season,164,37.68,58.24,1.0
P0031,Tablet Stand,Electronics,S011,2025-05-25,2025-09-05,Warranty Period,72,193.36,294.18,1.0
P0032,Wireless Earbuds,Electronics,S000,2025-04-11,2027-03-02,Warranty Period,81,112.91,161.81,1.0
